Tarih,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Şirket,Write Off,Research And Development,Impairment Of Capital Assets
2024-03-31,-148438250.0,0.25,15052488000.0,-593753000.0,-593753000.0,8973032000.0,2107606000.0,110971708000.0,14458735000.0,12351129000.0,-1342535000.0,2461916000.0,831085000.0,9418346750.0,8973032000.0,116326389000.0,,8889154000.0,350910000.0,350910000.0,25.57,25.57,8973032000.0,8973032000.0,0.0,8973032000.0,,8973032000.0,8973032000.0,916181000.0,9889213000.0,4470397000.0,,,,-1342535000.0,-288296000.0,2461916000.0,831085000.0,7861444000.0,5354681000.0,236802000.0,,,3881382000.0,1930002000.0,1951380000.0,,13216125000.0,110971708000.0,124187833000.0,124187833000.0,FROTO,,1349032000.0,
2023-09-30,,,,,,,,,,,,,,,,,,,350910000.0,350910000.0,57.32,57.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FROTO,,,
2025-03-31,-213887000.0,0.25,10131181000.0,-855548000.0,-855548000.0,-1640076000.0,4720201000.0,77842714000.0,9275633000.0,4555432000.0,-4527222000.0,5508478000.0,1717763000.0,-998415000.0,-1640076000.0,107889154000.0,,2504920000.0,606851917.0,606851917.0,-2.703,-2.703,-1640076000.0,-1640076000.0,0.0,-1640076000.0,311503000.0,-1951579000.0,-1951579000.0,998533000.0,-953046000.0,4342139000.0,25690000.0,-25690000.0,,-4527222000.0,736507000.0,5508478000.0,1717763000.0,1228488000.0,30046440000.0,130654000.0,,,28974651000.0,21430415000.0,7544236000.0,,31274928000.0,77842714000.0,109117642000.0,109117642000.0,ARCLK,,1297230000.0,
2024-12-31,1593710747.167549,0.301269,15829761000.0,5289987000.0,5289987000.0,6695085000.0,5028310000.0,92858457000.0,21119748000.0,16091438000.0,-6716975000.0,10879168000.0,1413666000.0,2998808747.167549,6695085000.0,126824371000.0,,5667083000.0,,,,,6695085000.0,6695085000.0,0.0,6695085000.0,3053112000.0,3641973000.0,3641973000.0,1570297000.0,5212270000.0,7606901000.0,5964312000.0,410428000.0,-6492724000.0,-6716975000.0,-2748527000.0,10879168000.0,1413666000.0,361353000.0,33965914000.0,850228000.0,,,32136691000.0,24541271000.0,7595420000.0,,34327267000.0,92858457000.0,127185724000.0,127185724000.0,ARCLK,117984000.0,1390496000.0,
2024-09-30,-334902398.124227,0.156142,5230968000.0,-2144862000.0,-2144862000.0,-5001552000.0,4886979000.0,77564147000.0,3086106000.0,-1800873000.0,-6610974000.0,4844706000.0,590195000.0,-3191592398.124227,-5001552000.0,104892673000.0,,-1927976000.0,606851917.0,606851917.0,-8.242,-8.242,-5001552000.0,-5001552000.0,0.0,-5001552000.0,606375000.0,-5607927000.0,-5607927000.0,-1037652000.0,-6645579000.0,2431212000.0,-924528000.0,15422000.0,909106000.0,-6610974000.0,2356463000.0,4844706000.0,590195000.0,498074000.0,27328526000.0,118698000.0,,,25978842000.0,20130106000.0,5848736000.0,,27826600000.0,77564147000.0,105390747000.0,105390747000.0,ARCLK,,1504508000.0,
2024-06-30,-238829500.0,0.25,5636433000.0,-955318000.0,-955318000.0,-432399000.0,3101997000.0,73467372000.0,4681115000.0,1579118000.0,-2686803000.0,3129921000.0,791787000.0,284089500.0,-432399000.0,100852215000.0,,109253000.0,606851917.0,606851917.0,-0.713,-0.713,-432399000.0,-432399000.0,0.0,-432399000.0,372843000.0,-805242000.0,-805242000.0,-745561000.0,-1550803000.0,1786083000.0,882121000.0,88269000.0,-970390000.0,-2686803000.0,348669000.0,3129921000.0,791787000.0,732135000.0,27384843000.0,182541000.0,,,26178361000.0,20424792000.0,5753569000.0,,28116978000.0,73467372000.0,101584350000.0,101584350000.0,ARCLK,,1129967000.0,
2024-03-31,-196843170.107734,0.28095,13305552000.0,-700635000.0,-700635000.0,2425279000.0,3532711000.0,70182018000.0,12604917000.0,9072206000.0,-4608745000.0,5424065000.0,1020494000.0,2929070829.892266,2425279000.0,95391823000.0,,3818072000.0,606851917.0,606851917.0,3.996,3.996,2425279000.0,2425279000.0,0.0,2425279000.0,-197918000.0,2623197000.0,2623197000.0,1024944000.0,3648141000.0,6355372000.0,-22197000.0,22197000.0,,-4608745000.0,205174000.0,5424065000.0,1020494000.0,4409242000.0,25209805000.0,71994000.0,,,24418705000.0,18489273000.0,5929432000.0,,29619047000.0,70182018000.0,99801065000.0,99801065000.0,ARCLK,,845507000.0,
2023-09-30,,,,,,,,,,,,,,,,,,,606851917.0,606851917.0,2.051,2.051,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,ARCLK,,,
2025-03-31,-106854321.673597,0.116538,12375001000.0,-916904000.0,-916904000.0,1254131000.0,4331506000.0,34698670000.0,11458097000.0,7126591000.0,-4125088000.0,5622955000.0,1497867000.0,2064180678.326403,1254131000.0,46988877000.0,,-487089000.0,2188630000.0,2188630000.0,0.573,0.573,1254131000.0,1254131000.0,0.0,1254131000.0,-74274000.0,1328405000.0,1328405000.0,175231000.0,1503636000.0,6634620000.0,64784000.0,-40062000.0,,-4125088000.0,,5622955000.0,1497867000.0,-1524712000.0,12290207000.0,768934000.0,,,12036456000.0,7822784000.0,4213672000.0,,10765495000.0,34698670000.0,45464165000.0,45464165000.0,SISE,-24722000.0,369904000.0,
2024-12-31,464713000.0,0.25,5799293000.0,1858852000.0,1858852000.0,-1141028000.0,3362267000.0,38836746000.0,7658145000.0,4295878000.0,-3130813000.0,6946273000.0,3815460000.0,-2535167000.0,-1141028000.0,51986886000.0,,-2379452000.0,,,,,-1141028000.0,-1141028000.0,0.0,-1141028000.0,140585000.0,-1281613000.0,-1281613000.0,-1368782000.0,-2650395000.0,3636195000.0,-465687000.0,336729000.0,,-3130813000.0,,6946273000.0,3815460000.0,-2709774000.0,13150140000.0,821244000.0,,,12994807000.0,8256461000.0,4738346000.0,,10440366000.0,38836746000.0,49277112000.0,49277112000.0,SISE,-38645000.0,229494000.0,
